Date,1540-price,1540-nav,1540-dev,1541-price,1541-nav,1541-dev,1542-price,1542-nav,1542-dev,1543-price,1543-nav,1543-dev
2023/08/09,8415,8410.74,0.05,3895,3958.65,-1.61,9553,9766.9,-2.19,52040,53019.45,-1.85
2023/08/10,8417,8404.03,0.15,3885,3932.65,-1.21,9537,9769.54,-2.38,52380,53021.35,-1.21
2023/08/14,8451,8422.56,0.34,3925,4019.51,-2.35,9575,9769.91,-2.00,54700,54890.78,-0.35
2023/08/15,8451,8436.64,0.17,3900,4012.97,-2.82,9602,9826.36,-2.28,53850,54885.36,-1.89
2023/08/16,8458,8429.93,0.33,3855,3958.25,-2.61,9600,9764.99,-1.69,52710,54880.86,-3.96
2023/08/17,8450,8429.84,0.24,3865,3973.94,-2.74,9600,9762.99,-1.67,51990,54879.08,-5.26
2023/08/18,8410,8373.02,0.44,3880,3985,-2.63,9683,9761,-0.80,52590,54866.37,-4.15
2023/08/21,8387,8360.45,0.32,3940,4038.56,-2.44,9687,9768,-0.83,53450,54869.27,-2.59
2023/08/22,8430,8425.59,0.05,3950,4071.86,-2.99,9895,9954.35,-0.60,53330,54865.67,-2.80
2023/08/23,8432,8431.17,0.01,3995,4118.12,-2.99,9960,10044.2,-0.84,53580,54855.69,-2.33
2023/08/24,8480,8478.34,0.02,4005,4109.72,-2.55,10105,10369.71,-2.55,53700,54861.22,-2.12
2023/08/25,8504,8508.49,-0.05,4025,4147.64,-2.96,10065,10461.41,-3.79,52800,54862.19,-3.76
2023/08/28,8523,8533.73,-0.13,4100,4197.49,-2.32,10135,10467.46,-3.18,52710,54844.1,-3.89
2023/08/29,8577,8571.45,0.06,4160,4280.81,-2.82,10200,10551.74,-3.33,53650,54845.98,-2.18
2023/08/30,8624,8607.28,0.19,4200,4319.65,-2.77,10305,10734.36,-4.00,53660,54830.53,-2.13
2023/08/31,8635,8624.2,0.13,4170,4288.09,-2.75,10240,10591.33,-3.32,53130,53911.99,-1.45
2023/09/01,8601,8587.21,0.16,4140,4262.99,-2.89,10155,10496.43,-3.25,52880,53920.64,-1.93
2023/09/04,8653,8647.4,0.06,4130,4259.1,-3.03,10100,10495.05,-3.76,52880,53889.84,-1.87
2023/09/05,8664,8648.25,0.18,4095,4215.52,-2.86,10010,10493.97,-4.61,52800,53912.7,-2.06
2023/09/06,8629,8618.86,0.12,4040,4123.79,-2.03,9949,10402.94,-4.36,52800,53908.21,-2.06
